ProductBrand,ProductName,ProductTHCUnit,ProductTHCAmount,ProductCBDUnit,ProductCBDAmount,DispensaryName,Delivery,ProductType,ProductTypeSub,Quantity1,Price1,QuantityAvailable
Happy Cabbage Farms,Happy Cabbage | Hash Rosin Cartridge | Strawberry Banana,PERCENTAGE,81.6,PERCENTAGE,0,Oregrown (Portland),1,Concentrate,rosin,.5g,45,3
Highland Provisions,Highland Provisions - WILSON! ZERO - Live Rosin Cartridge - - H,N/A,0,N/A,0,Chalice Farms (Downtown),0,Concentrate,rosin,.5g,45,4
PDX Dabs,Orange GMO Hash Rosin - PDX Dabs,PERCENTAGE,65,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,45,23
PDX Dabs,PTP Hash Rosin - PDX Dabs,PERCENTAGE,65,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,45,24
Permaculture Solutions,Permaculture Solutions | Cookies n Cream x Black Lotus Rosin Batter,PERCENTAGE,1000,PERCENTAGE,0,TJs on Powell,0,Concentrate,rosin,1g,45,11
Permaculture Solutions,Permaculture Solutions | God Bud Rosin Batter,N/A,0,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,45,2
Permaculture Solutions,Permaculture Solutions | Key Lime Pie 90u Rosin Batter,PERCENTAGE,66.96,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,45,2
Permaculture Solutions,Permaculture Solutions | Mike Larry Rosin Batter,PERCENTAGE,1000,PERCENTAGE,0,TJs on Powell,0,Concentrate,rosin,1g,46.67,4
Decibel Farms,Cake Crasher Live Rosin | 1g,PERCENTAGE,64.34,PERCENTAGE,0,Tetra Cannabis (Belmont),1,Concentrate,rosin,1g,48,3
Decibel Farms,Strawberry Papaya Grape Live Rosin | 1g,PERCENTAGE,66.09,PERCENTAGE,0,Tetra Cannabis (Belmont),1,Concentrate,rosin,1g,48,4
Happy Cabbage Farms,[$48] Happy Cabbage - Don Mega Rosin Cart,PERCENTAGE,76.2,N/A,0,Deanz Greenz (Sandy),0,Concentrate,rso,.5g,48,5
,Decibel Banana Punch 90u Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,50,2
,Decibel Banana Punch 90u Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,50,3
,Decibel Cresendo 90u Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,50,7
,Decibel Rotten Bananas 90u Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,50,8
,Decibel Rotten Bananas 90u Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,50,9
,HC Citrus Funk Fresh Press Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,50,1
,HC Garlic Jungle Cake Fresh Press Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,50,2
,HC Guava Fresh Press Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,50,2
,HC Ice Cream Cake + Ice Cream Zunday Rosin Batter,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,50,1
,HC LA Wedding Pop Rosin Batter,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,50,2
